67;The world is indeed full of peril, and in it there are many dark places, but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.;J.R.R. Tolkien; The Fellowship of the Ring;Book
35287;Short cuts make long delays.;J.R.R. Tolkien; The Fellowship of the Ring;Book
53891;It is wisdom to recognize necessity when all other courses have been weighed, though as folly it may appear to those who cling to false hope.;J.R.R. Tolkien; The Fellowship of the Ring;Book
67767;He that breaks a thing to find out what it is has left the path of wisdom.;J.R.R. Tolkien; The Fellowship of the Ring;Book
36032;Have you ever sensed that our soul is immortal and never dies?;Plato; The Republic;Book
64995;Musical training is a more potent instrument than any other, because rhythm and harmony find their way into the inward places of the soul.;Plato; The Republic;Book
65021;The philosopher whose dealings are with divine order himself acquires the characteristics of order and divinity.;Plato; The Republic;Book
66983;The worst type of man behaves as badly in his waking life as some men do in their dreams.;Plato; The Republic;Book
162;You know how they say you only hurt the ones you love? Well, it works both ways.;Chuck Palahniuk; Fight Club;Book
7935;There are lot of things we don't want to know about the people we love.;Chuck Palahniuk; Fight Club;Book
28338;This is your life and its ending one moment at a time.;Chuck Palahniuk; Fight Club;Book
28426;At the time, my life just seemed too complete, and maybe we have to break everything to make something better out of ourselves.;Chuck Palahniuk; Fight Club;Book
31660;So long as human beings stay human, death and life are the same thing.;George Orwell;1984;Book
47768;It struck him that the true characteristic thing about modern life was not its cruelty and insecurity, but simply its bareness, its dinginess, its listlessness.;George Orwell;1984;Book
53096;Who controls the past controls the future. Who controls the present controls the past.;George Orwell;1984;Book
53106;War is peace. Freedom is slavery. Ignorance is strength.;George Orwell;1984;Book
61277;If you start out by promising what you don't even have yet, you'll lose your desire to work toward getting it.;Paulo Coelho; The Alchemist;Book
67740;The secret of life, though, is to fall seven times and to get up eight times.;Paulo Coelho; The Alchemist;Book
33;One is loved because one is loved. No reason is needed for loving.;Paulo Coelho; The Alchemist;Book
34;When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.;Paulo Coelho; The Alchemist;Book
53676;The wise warrior avoids the battle.;Sun Tzu; The Art of War;Book
79778;The supreme art of war is to subdue the enemy without fighting.;Sun Tzu; The Art of War;Book
79820;who wishes to fight must first count the cost;Sun Tzu; The Art of War;Book
79855;Great results, can be achieved with small forces.;Sun Tzu; The Art of War;Book
53676;The wise warrior avoids the battle.;Sun Tzu; The Art of War;Book
900001;We cannot solve our problems with the same thinking we used when we created them.;Albert Einstein;;Author
900002;A person who never made a mistake never tried anything new.;Albert Einstein;;Author
900003;If you can't explain it simply, you don't understand it well enough.;Albert Einstein;;Author
900004;Only two things are infinite, the universe and human stupidity, and I'm not sure about the former.;Albert Einstein;;Author
900005;He who has a why to live can bear almost any how.;Friedrich Nietzsche;;Author
900006;That which does not kill us makes us stronger.;Friedrich Nietzsche;;Author
900007;The doer alone learneth.;Friedrich Nietzsche;;Author
900008;Without music, life would be a mistake.;Friedrich Nietzsche;;Author
900009;Monsters are real, and ghosts are real too. They live inside us, and sometimes, they win.;Stephen King;;Author
900010;The trust of the innocent is the liar's most useful tool.;Stephen King;;Author
900011;Get busy living, or get busy dying.;Stephen King;;Author
900012;Life is like a wheel. Sooner or later, it always come around to where you started again.;Stephen King;;Author
900013;"Who looks outside, dreams; who looks inside, awakes.";C.G. Jung;;Author
900014;It all depends on how we look at things, and not how they are in themselves.;C.G. Jung;;Author
900015;I am not what happened to me, I am what I choose to become.;C.G. Jung;;Author
900016;No tree, it is said, can grow to heaven unless its roots reach down to hell.;C.G. Jung;;Author
900017;Life is the flower for which love is the honey.;Victor Hugo;;Author
900018;"To learn to read is to light a fire; every syllable that is spelled out is a spark.";Victor Hugo;;Author
900019;Even the darkest night will end and the sun will rise.;Victor Hugo;;Author
900020;Laughter is the sun that drives winter from the human face.;Victor Hugo;;Author
900021;Life is short, break the rules. Forgive quickly, kiss slowly, love truly;Mark Twain;;Author
900022;The secret of getting ahead is getting started.;Mark Twain;;Author
900023;Give every day the chance to become the most beautiful of your life;Mark Twain;;Author
900024;Donâ€™t wait. The time will never be just right;Mark Twain;;Author
